pma_number,supplement_number,trade_name,generic_name,product_code,advisory_panel,decision_date,applicant,docket_number,surgical_specialty,is_surgical
P950032,S010,APLIGRAF (GRAFTSKIN),"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2000-05-03,"ORGANOGENESIS, INC.",,General/Plastic,True
P990074,S002,MC GHAN SALINE-FILLED BREAST IMPLANTS,"PROSTHESIS, BREAST, INFLATABLE, INTERNAL, SALINE",FWM,"General, Plastic Surgery",2000-12-21,ALLERGAN,,General/Plastic,True
P950032,S021,APLIGRAF(R)(GRAFTSKIN),"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2000-12-21,"ORGANOGENESIS, INC.",,General/Plastic,True
P990004,S002,"SURGIFORM ABSORBABLE GELATION SPONGE, USP",,,"General, Plastic Surgery",2000-02-08,FERROSAN MEIDCAL DEVICES A/S,,General/Plastic,True
P990074,S003,SALINE FILLED BREAST IMPLANT,"PROSTHESIS, BREAST, INFLATABLE, INTERNAL, SALINE",FWM,"General, Plastic Surgery",2000-12-15,ALLERGAN,,General/Plastic,True
P990028,,FOCAL SEAL-L SYNTHETIC ABSORBABLE SEALANT,"SEALANT, POLYMERIZING",NBE,"General, Plastic Surgery",2000-05-26,GENZYME CORP.,00M-1507,General/Plastic,True
P940010,S008,OPTIGUIDE (TM) CYLINDRICAL FIBER OPTIC,"SYSTEM, LASER, FIBER OPTIC, PHOTODYNAMIC THERAPY",MVG,"General, Plastic Surgery",2000-07-07,"PINNACLE BIOLOGICS, INC.",,General/Plastic,True
P950032,S018,APLIGRAF(R),"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2000-08-31,"ORGANOGENESIS, INC.",,General/Plastic,True
P990074,S001,SALINE-FILLED BREAST IMPLANTS,"PROSTHESIS, BREAST, INFLATABLE, INTERNAL, SALINE",FWM,"General, Plastic Surgery",2000-12-06,ALLERGAN,,General/Plastic,True
P950032,S016,APLIGRAF (GRAFTSKIN),"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2000-06-20,"ORGANOGENESIS, INC.",00M-1508,General/Plastic,True
P990075,,MENTOR CORPORATION SALINE-FILLED AND SPECTRUM (R) MAMMARY PROSTHESES,"PROSTHESIS, BREAST, INFLATABLE, INTERNAL, SALINE",FWM,"General, Plastic Surgery",2000-05-10,"MENTOR WORLDWIDE, LLC",01M-0011,General/Plastic,True
P940010,S009,OPTIGUIDE PHOTODYNAMIC THERAPY FIBER OPTIC TREATMENT SYSTEM,"SYSTEM, LASER, FIBER OPTIC, PHOTODYNAMIC THERAPY",MVG,"General, Plastic Surgery",2000-09-29,"PINNACLE BIOLOGICS, INC.",,General/Plastic,True
P960007,S014,TRANSCYTE(TM),"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2000-05-19,SHIRE REGENERATIVE MEDICINE,,General/Plastic,True
P950032,S017,APLIGRAF(R)(GRAFTSKIN),"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2000-06-16,"ORGANOGENESIS, INC.",,General/Plastic,True
P950034,S014,SEPRAFILM BIORESORBABLE MEMBRANE,"BARRIER, ABSORBABLE, ADHESION",MCN,"General, Plastic Surgery",2000-03-23,BAXTER HEALTHCARE CORPORATION,,General/Plastic,True
P990030,,VITAGEL SURGICAL HEMOSTAT,ABSORBABLE COLLAGEN HEMOSTATIC AGENT WITH THROMBIN,PMX,"General, Plastic Surgery",2000-06-13,ANGIOTECH MEDICAL DEVICE TECHNOLOGIES,00M-1368,General/Plastic,True
P990019,S001,BLU-U BLUE LIGHT PHOTODYNAMIC THERAPHY ILLUMINATOR,"SYSTEM, LASER, PHOTODYNAMIC THERAPY",MVF,"General, Plastic Surgery",2000-09-26,"SUN PHARMACEUTICAL INDUSTRIES, INC.",,General/Plastic,True
P960007,S013,TRANSCYTE,"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2000-03-16,SHIRE REGENERATIVE MEDICINE,,General/Plastic,True
P990004,S003,SURGIFOAM ABSORBABLE GELATIN HEMORRHOIDECTOMY SPONGE,,,"General, Plastic Surgery",2000-11-15,FERROSAN MEIDCAL DEVICES A/S,,General/Plastic,True
N17600,S016,AVITENE MICROFIBRILLAR COLLAGEN HEMOSTAT (MCH),"AGENT, ABSORBABLE HEMOSTATIC, COLLAGEN BASED",LMF,"General, Plastic Surgery",2000-02-28,"DAVOL INC., SUB. C. R. BARD, INC.",,General/Plastic,True
P990049,,COHERENT OPAL PHOTOACTIVATOR LASER SYSTEM,"SYSTEM, LASER, PHOTODYNAMIC THERAPY",MVF,"General, Plastic Surgery",2000-04-12,LUMENIS,00M-1299,General/Plastic,False
P990074,,NATRELLE SALINE BREAST IMPLANTS,"PROSTHESIS, BREAST, INFLATABLE, INTERNAL, SALINE",FWM,"General, Plastic Surgery",2000-05-10,ALLERGAN,01M-0012,General/Plastic,True
P950034,S015,SEPRAFILM(TM) BIORESORBABLE MEMBRANE,"BARRIER, ABSORBABLE, ADHESION",MCN,"General, Plastic Surgery",2000-06-23,BAXTER HEALTHCARE CORPORATION,,General/Plastic,True
P990009,S002,FLOSEAL MATRIX HEMOSTATIC SEALANT,"AGENT, ABSORBABLE HEMOSTATIC, COLLAGEN BASED",LMF,"General, Plastic Surgery",2000-12-12,BAXTER HEALTHCARE CORP,,General/Plastic,True
N18286,S012,GELFOAM STERILE POWDER,"AGENT, ABSORBABLE HEMOSTATIC, COLLAGEN BASED",LMF,"General, Plastic Surgery",2000-10-16,"PFIZER, INC.",00M-1616,General/Plastic,True
P950034,S016,SEPRAFILM BIORESORBABLE MEMBRANE,"BARRIER, ABSORBABLE, ADHESION",MCN,"General, Plastic Surgery",2000-07-07,BAXTER HEALTHCARE CORPORATION,,General/Plastic,True
P950034,S017,SEPRAFILM(R) BIORESORBABLE MEMBRAND,"BARRIER, ABSORBABLE, ADHESION",MCN,"General, Plastic Surgery",2000-12-20,BAXTER HEALTHCARE CORPORATION,,General/Plastic,True
P990021,,DIOMED 630 PDT LASER,"SYSTEM, LASER, PHOTODYNAMIC THERAPY",MVF,"General, Plastic Surgery",2000-06-30,"PINNACLE BIOLOGICS, INC.",00M-1387,General/Plastic,False
P990075,S002,MENTOR SALINE-FILLED MAMMARY PROSTHESES,,,"General, Plastic Surgery",2000-12-22,"MENTOR WORLDWIDE, LLC",,General/Plastic,True
P990030,S002,COSTASIS/DYNASTAT SURGICAL HEMOSTAT,"AGENT, ABSORBABLE HEMOSTATIC, COLLAGEN BASED",LMF,"General, Plastic Surgery",2001-12-21,ANGIOTECH MEDICAL DEVICE TECHNOLOGIES,,General/Plastic,True
P950034,S018,SEPRAFILM ADHESION BARRIER/SEPRAFILM PROCEDURE PACK,"BARRIER, ABSORBABLE, ADHESION",MCN,"General, Plastic Surgery",2001-10-04,BAXTER HEALTHCARE CORPORATION,,General/Plastic,True
P990009,S004,FLOSEAL MATRIX (AKA PROCEED) HEMOSTATIC SEALANT,"AGENT, ABSORBABLE HEMOSTATIC, COLLAGEN BASED",LMF,"General, Plastic Surgery",2001-02-28,BAXTER HEALTHCARE CORP,,General/Plastic,True
P990030,S001,COSTASIS(R)/DYNASTAT SURGICAL HEMOSTAT,"AGENT, ABSORBABLE HEMOSTATIC, COLLAGEN BASED",LMF,"General, Plastic Surgery",2001-01-02,ANGIOTECH MEDICAL DEVICE TECHNOLOGIES,,General/Plastic,True
P990074,S008,MCGHAN MEDICAL SALINE-FILLED BREAST IMPLANTS,"PROSTHESIS, BREAST, INFLATABLE, INTERNAL, SALINE",FWM,"General, Plastic Surgery",2001-08-08,ALLERGAN,,General/Plastic,True
P010016,S001,ORCEL BILAYERED CELLULAR MATRIX,"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2001-12-06,FORTICELL BIOSCIENCE,,General/Plastic,True
P950032,S024,APLIGRAF/GRAFTSKIN,"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2001-07-16,"ORGANOGENESIS, INC.",,General/Plastic,True
P990009,S005,FLOSEAL(R) MATRIX/PROCEED(TM) HEMOSTATIC SEALANT,"AGENT, ABSORBABLE HEMOSTATIC, COLLAGEN BASED",LMF,"General, Plastic Surgery",2001-03-15,BAXTER HEALTHCARE CORP,,General/Plastic,True
P000036,,DERMAGRAFT,"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2001-09-28,SHIRE REGENERATIVE MEDICINE,01M-0498,General/Plastic,True
P990075,S003,"HIGH PROFILE ROUND SALINE-FILLED BREAST IMPLANT, STYLE 3000",,,"General, Plastic Surgery",2001-06-18,"MENTOR WORLDWIDE, LLC",,General/Plastic,True
P990009,S006,FLOSEAL MATRIX/MATRIX HEMOSTATIC SEALANT/PROCEED HEMOSTATIC SEALANT,"AGENT, ABSORBABLE HEMOSTATIC, COLLAGEN BASED",LMF,"General, Plastic Surgery",2001-04-30,BAXTER HEALTHCARE CORP,,General/Plastic,True
P990048,S002,VISULAS 690S LASER AND VISULINK PDT ADAPTER,"SYSTEM, LASER, PHOTODYNAMIC THERAPY",MVF,"General, Plastic Surgery",2001-07-03,"CARL ZEISS MEDITEC, AG",,General/Plastic,True
P850010,S016,HELISTAT/HELITENE ABSORBABLE COLLAGEN HEMOSTATIC AGENTS,"AGENT, ABSORBABLE HEMOSTATIC, COLLAGEN BASED",LMF,"General, Plastic Surgery",2001-06-29,INTEGRA LIFESCIENCES CORPORATION,,General/Plastic,True
P900033,S007,INTEGRA DERMAL REGENERATION TEMPLATE,"DEVICE, DERMAL REPLACEMENT",MDD,"General, Plastic Surgery",2001-08-10,INTEGRA LIFESCIENCES CORP.,,General/Plastic,True
P950032,S027,APLIGRAF (GRAFTSKIN),"DRESSING, WOUND AND BURN, INTERACTIVE",MGR,"General, Plastic Surgery",2001-11-07,"ORGANOGENESIS, INC.",,General/Plastic,True
P990048,S001,VISULAS 690S AND VISULINK PDT/U ADAPTER,"SYSTEM, LASER, PHOTODYNAMIC THERAPY",MVF,"General, Plastic Surgery",2001-09-27,"CARL ZEISS MEDITEC, AG",,General/Plastic,True
P990074,S006,SALINE-FILLED BREAST IMPLANTS,"PROSTHESIS, BREAST, INFLATABLE, INTERNAL, SALINE",FWM,"General, Plastic Surgery",2001-05-15,ALLERGAN,,General/Plastic,True
P990028,S001,FOCALSEAL-L SYNTHETIC ABLSORBABLE SEALANT,"MESH, SURGICAL, POLYMERIC",FTL,"General, Plastic Surgery",2001-04-20,GENZYME CORP.,,General/Plastic,True
P990075,S006,MENTOR SALINE-FILLED BREAST IMPLANTS,,,"General, Plastic Surgery",2001-08-09,"MENTOR WORLDWIDE, LLC",,General/Plastic,True
