pma_number,trade_name,total_publications,total_citations,avg_citations_per_pub,num_rcts,num_observational,peak_publication_year,peak_publication_count,top_concepts,is_surgical
N12159,SURGICEL/SURGICEL NU-KNIT/SURGICEL FIBRILLAR ABSORBABLE HEMOSTAT,100,6614,66.14,7,16,2011.0,16,Medicine; Surgery; Hemostasis; Hemostatic Agent; Nephrectomy,True
N16837,ARTEGRAFT BOVINE HETEROGRAFT,0,0,0.0,0,0,,0,,True
N17004,SURGICAL SIMPLEX P RADIOPAQUE BONE CEMENT,7,133,19.0,0,0,1997.0,4,Materials science; Polymerization; Medicine; Composite material; Cement,True
N17600,AVITENE MICROFIBRILLAR COLLAGEN HEMOSTAT (MCH),0,0,0.0,0,0,,0,,True
N18286,GELFOAM STERILE POWDER,0,0,0.0,0,0,,0,,True
N970012,AMS 700 INFLATABLE PENILE PROSTHESIS,7,182,26.0,0,1,2017.0,2,Medicine; Penile prosthesis; Prosthesis; Erectile dysfunction; Surgery,True
N980003,KERAMOS CERAMIC/CERAMIC TOTAL HIP SYSTEM,0,0,0.0,0,0,,0,,True
P000006,TITAN INFLATABLE PENILE PROSTHESIS,6,200,33.33,0,2,2009.0,2,Medicine; Inflatable; Titan (rocket family); Surgery; Penile prosthesis,True
P000007,CARPENTIER-EDWARDS PERIMOUNT PERICARDIAL BIOPROSTHESIS,100,3978,39.78,11,9,2010.0,10,Medicine; Cardiology; Internal medicine; Surgery; Aortic valve replacement,True
P000008,LAP-BAND ADJUSTABLE GASTRIC BANDING SYSTEM,20,973,48.65,1,4,2011.0,5,Medicine; Weight loss; Surgery; Gastric banding; Internal medicine,True
P000013,TRIDENT SYSTEM,75,392,5.23,2,3,2007.0,12,Computer science; Political science; Trident; Nuclear weapon; Government (linguistics),True
P000015,NUCLEUS 24 AUDITORY BRAINSTEM IMPLANT SYSTEM,2,8,4.0,0,0,2005.0,2,Statement (logic); Perioperative nursing; Perioperative; Medicine; Patient care,True
P000023,TMJ FOSSA-EMINENCE/CONDYLAR PROSTHESES,2,10,5.0,0,1,2001.0,1,Medicine; Condyle; Prosthesis; Surgery; Fossa,True
P000025,COMBI 40+ COCHLEAR IMPLANT SYSTEM,10,86,8.6,0,0,2002.0,4,Cochlear implant; Audiology; Computer science; Psychology; Coding (social sciences),True
P000026,"STAAR SURGICAL COMPANY AQUAFLOW(TM) COLLAGEN GLAUCOMA DRAINAGE DEVICE, MODEL CGDD-20",0,0,0.0,0,0,,0,,True
P000028,AFFINITY (TM) CAGE SYSTEM,0,0,0.0,0,0,,0,,True
P000035,TMJ FOSSA-EMINENCE PROSTHESIS(TM),0,0,0.0,0,0,,0,,True
P000036,DERMAGRAFT,100,12486,124.86,15,9,2011.0,12,Medicine; Surgery; Wound healing; Diabetic foot; Diabetes mellitus,True
P000037,"ON-X (R) PROSTHETIC HEART VALVE, MODEL ONXA",4,234,58.5,0,2,2000.0,2,Medicine; Hemolysis; Subclinical infection; Internal medicine; Cardiology,True
P000048,DORNIER EPOS ULTRA,18,1258,69.89,6,2,2005.0,4,Medicine; Plantar fasciitis; Extracorporeal shockwave therapy; Placebo; Visual analogue scale,True
P000053,AMS SPHINCTER 800 URINARY CONTROL SYSTEM,1,140,140.0,0,0,2003.0,1,Medicine; Artificial urinary sphincter; Surgery; Urethra; Balloon,True
P000054,INFUSE BONE GRAFT,100,9093,90.93,5,8,2009.0,13,Medicine; Surgery; Bone morphogenetic protein; Lumbar; Spinal fusion,True
P000057,ASCENSION MCP,1,2,2.0,0,0,2006.0,1,Medicine; Rheumatoid arthritis; Range of motion; Arthroplasty; Pyrolytic carbon,True
P000058,INFUSE BONE GRAFT/LT-CAGE LUMBAR TAPERED FUSION DEVICE,100,9733,97.33,4,10,2012.0,20,Medicine; Surgery; Bone morphogenetic protein; Lumbar; Bone morphogenetic protein 2,True
P010001,CERAMIC TRANSCEND HIP ARTICULATION SYSTEM,0,0,0.0,0,0,,0,,True
P010002,INDERMIL(TM) TISSUE ADHESIVE,0,0,0.0,0,0,,0,,True
P010014,OXFORD(TM) MENISCAL UNICOMPARTMENTAL KNEE SYSTEM,0,0,0.0,0,0,,0,,True
P010016,ORCEL BILAYERED CELLULAR MATRIX,0,0,0.0,0,0,,0,,True
P010020,AMS ACTICON NEOSPHINCTER,0,0,0.0,0,0,,0,,True
P010022,COSEAL SURGICAL SEALANT (COSEAL),0,0,0.0,0,0,,0,,True
P010023,SOUNDTEC DIRECT SYSTEM,8,111,13.88,0,1,2002.0,3,Medicine; Sensorineural hearing loss; Audiology; Hearing aid; Implant,True
P010027,ANTERIOR CHAMBER INTRAOCULAR LENS (CATARACT),0,0,0.0,0,0,,0,,True
P010029,EUFLEXXA (1% SODIUM HYALURONATE),8,113,14.12,2,0,2011.0,4,Medicine; Osteoarthritis; Clinical trial; Arthroplasty; Ankle,True
P010039,SIEMENS SONOCUR BASIC SYSTEM,2,12,6.0,2,0,2003.0,2,Epicondylitis; Extracorporeal shock wave therapy; Medicine; Double blind; Surgery,True
P010041,"CARPENTIER-EDWARDS S.A.V. BIOPROSTHESIS, MODEL 2650 (AORTIC)",0,0,0.0,0,0,,0,,True
P010061,CURELIGHT BROADBAND (MODEL CURELIGHT 01),1,1,1.0,0,0,2013.0,1,Photodynamic therapy; Medical physics; Risk analysis (engineering); Medicine; Intensive care medicine,True
P020003,COLOPLAST SALINE-FILLED TESTICULAR PROSTHESIS,0,0,0.0,0,0,,0,,True
P020004,EXCLUDER BIFURCATED ENDOPROSTHESIS,20,712,35.6,1,1,2007.0,5,Medicine; Surgery; Abdominal aortic aneurysm; Aneurysm; Radiology,True
P020012,"ARTEFILL, BELLAFILL PMMA COLLAGEN PERMANENT DERMAL FILLER",0,0,0.0,0,0,,0,,True
P020016,WALTER LORENZ TOTAL TEMPOROMANDIBULAR JOINT REPLACEMENT SYSTEM,0,0,0.0,0,0,,0,,True
P020018,ZENITH AAA ENDOVASCULAR GRAFT AND H&L-B ONE-SHOT INTRODUCTINO SYSTEM,100,9533,95.33,9,10,2008.0,20,Medicine; Surgery; Abdominal aortic aneurysm; Endovascular aneurysm repair; Aneurysm,True
P020023,RESTYLANE INJECTABLE GEL,0,0,0.0,0,0,,0,,True
P020049,PROCOL VASCULAR BIOPROSTHESIS,3,42,14.0,0,0,2003.0,1,Vascular access; Medicine; Internal medicine; Hemodialysis; Elastin,True
P020056,NATRELLE SILICONE-FILLED BREAST IMPLANTS,6,239,39.83,0,2,2009.0,3,Medicine; Breast augmentation; Silicone; Implant; Capsular contracture,True
P030002,CRYSTALENS MODEL AT-45 ACCOMMODATING POSTERIOR CHAMBER INTRAOCULAR LENS (IOL),0,0,0.0,0,0,,0,,True
P030016,VISIAN ICL (IMPLANTABLE COLLAMER LENS),2,4,2.0,0,0,2013.0,2,Phakic intraocular lens; Medicine; Refractive error; Optometry; Refractive surgery,True
P030019,ORTHOVISC HIGH MOLECULAR WEIGHT HYALURONAN,2,2,1.0,0,0,2013.0,2,Medicine; Osteoarthritis; Ankle; Arthritis; Arthroplasty,True
P030022,REFLECTION CERAMIC ACETABULAR SYSTEM,0,0,0.0,0,0,,0,,True
P030027,CERAMIC TRANSCEND HIP ARTICULATION,0,0,0.0,0,0,,0,,True
P030028,ARTISAN (MODEL 206 AND 204) PHAKIC INTRAOCULAR LENS (PIOL) VERISYSE (VRSM5US AND VRSM6US) PHAKIC INTRAOCULAR LENS (PIOL),0,0,0.0,0,0,,0,,True
P030030,TEGRESS URETHRAL IMPLANT,5,21,4.2,0,0,2005.0,2,Medicine; Implant; Cystoscopy; Prostatectomy; Urinary incontinence,True
P030032,HYLAFORM (HYLAN B GEL),0,0,0.0,0,0,,0,,True
P030039,COSEAL SURGICAL SEALANT,12,245,20.42,5,3,2009.0,4,Medicine; Surgery; Cardiology; Cardiac surgery; Randomized controlled trial,True
P030042,CONSERVE PLUS TOTAL RESURFACING HIP SYSTEM,0,0,0.0,0,0,,0,,True
P030050,SCULPTRA AND SCULPTRA AESTHETIC,0,0,0.0,0,0,,0,,True
P030053,MEMORYGEL SILICONE GEL -FILLED BREAST IMPLANTS,2,10,5.0,0,0,2012.0,2,Food and drug administration; Miami; Medicine; Breast implant; Implant,True
P040001,X STOP INTERSPINOUS PROCESS DECOMPRESSION SYSTEM,100,4569,45.69,15,18,2009.0,16,Medicine; Surgery; Lumbar spinal stenosis; Lumbar; Decompression,True
P040002,ENDOLOGIX POWERLINK SYSTEM,4,16,4.0,0,2,2003.0,2,Medicine; Surgery; Multicenter study; Multicenter trial; Abdominal aortic aneurysm,True
P040006,CHARITE ARTIFICIAL DISC,100,7047,70.47,21,19,2009.0,17,Medicine; Surgery; Lumbar; Oswestry Disability Index; Degenerative disc disease,True
P040020,ACRYSOF RESTOR APODIZED DIFFRACTIVE OPTIC POSTERIOR CHAMBER IOL,98,2446,24.96,2,7,2012.0,16,Medicine; Ophthalmology; Multifocal intraocular lens; Intraocular lens; Optometry,True
P040021,SJM BIOCOR VALVE / SJM BIOCOR SUPRA VALVE,1,4,4.0,0,0,2001.0,1,Medicine; Tricuspid insufficiency; Decompensation; Regurgitation (circulation); Cardiology,True
P040023,DURALOC OPTION CERAMIC HIP SYSTEM,0,0,0.0,0,0,,0,,True
P040024,RESTYLANE INJECTABLE GEL,1,97,97.0,0,1,2014.0,1,Medicine; Hyaluronic acid; Lidocaine; Filler (materials); Patient satisfaction,True
P040027,GORE VIATORR TIPS,1,0,0.0,0,0,2010.0,1,Medicine; Transjugular intrahepatic portosystemic shunt; Stent; Surgery; Radiology,True
P040033,BIRMINGHAM HIP RESURFACING (BHR) SYSTEM,15,184,12.27,0,1,2016.0,4,Medicine; Hip resurfacing; Orthopedic surgery; Femoral head; Total hip replacement,True
P040034,DURASEAL DURAL SEALANT SYSTEM,4,191,47.75,2,3,2009.0,1,Medicine; Surgery; Cerebrospinal fluid leak; Pseudomeningocele; Dura mater,True
P040039,ORBASONE PAIN RELIEF SYSTEM,2,58,29.0,0,0,2009.0,2,Extracorporeal shockwave therapy; Plantar fasciitis; Medicine; Epicondylitis; Chronic pain,True
P040043,GORE TAG THORACIC ENDOPROSTHESIS,100,7344,73.44,2,5,2008.0,23,Medicine; Surgery; Stent; Aortic repair; Thoracic aorta,True
P040046,NATRELLE HIGHLY COHESIVE SILICONE-FILLED BREAST IMPLANTS,4,12,3.0,0,2,2016.0,2,Medicine; Seroma; Capsular contracture; Breast augmentation; Context (archaeology),True
P040047,BIOFORM MEDICAL COAPTITE INJECTABLE IMPLANT,0,0,0.0,0,0,,0,,True
P040048,TRILOGY AB ACETABULAR SYSTEM,0,0,0.0,0,0,,0,,True
P040050,MACROPLASTIQUE IMPLANTS,38,825,21.71,7,10,2005.0,6,Medicine; Urinary incontinence; Urology; Surgery; Quality of life (healthcare),True
P040051,STELKAST SURPASS  ACETABULAR SYSTEM,0,0,0.0,0,0,,0,,True
P050004,EMS SWISS DOLORCLAST,11,134,12.18,0,1,2008.0,2,Medicine; Shock wave; Hydrophone; Extracorporeal shockwave therapy; In vivo,True
P050009,C2 A-TAPER ACETABULAR SYSTEM,0,0,0.0,0,0,,0,,True
P050010,PRODISC -L TOTAL DISC REPLACEMENT DEVICE,1,0,0.0,0,0,2016.0,1,Anatomy; Medicine; Selection (genetic algorithm); Orthodontics; Computer science,True
P050013,HISTOACRYL AND HISTOACRYL BLUE TOPICAL SKIN ADHESIVE,3,255,85.0,0,0,2007.0,2,Cyanoacrylate; Medical device; Medicine; Cyanoacrylates; Adhesive,True
P050016,CORMET HIP RESURFACING SYSTEM,3,102,34.0,0,0,2013.0,2,Medicine; Hip resurfacing; Orthopedic surgery; Pelvis; Radiography,True
P050033,HYDRELLE,5,94,18.8,0,0,2011.0,4,Medicine; Hyaluronic acid; Lidocaine; Patient satisfaction; Pain management,True
P050037,RADIESSE 1.3CC AND 0.3CC,0,0,0.0,0,0,,0,,True
P050038,ARISTA AH ABSORBABLE HEMOSTAT,0,0,0.0,0,0,,0,,True
P050039,NOVATION CERAMIC ARTICULATION HIP SYSTEM,0,0,0.0,0,0,,0,,True
P050043,"FEMORAL INTRODUCER SHEATH AND HEMOSTASIS (FISH) DEVICE 5,6, AND 8 FRENCH",20,509,25.45,0,2,2015.0,4,Medicine; Femoral artery; Cardiology; Surgery; Stent,True
P050044,VITAGEL RT3 SUTGICAL HEMOSTAT,0,0,0.0,0,0,,0,,True
