2026-01-20 13:15:31,193 - __main__ - ERROR - Error fetching for SURGIFORM ABSORBABLE GELATION SPONGE, USP: 400 Client Error: Bad Request for url: https://api.openalex.org/works?filter=default.search%3A%22SURGIFORM+ABSORBABLE+GELATION+SPONGE%2C+USP%22%2Cfrom_publication_date%3A2000-01-01%2Cto_publication_date%3A2020-12-31&per_page=50&cursor=%2A
2026-01-20 13:15:36,201 - __main__ - ERROR - Error fetching for SALINE-FILLED BREAST IMPLANTS: ('Received response with content-encoding: br, but failed to decode it.', error("brotli: decoder process called with data when 'can_accept_more_data()' is False"))
2026-01-20 13:16:07,031 - __main__ - ERROR - Error fetching for SALINE-FILLED BREAST IMPLANTS: 'NoneType' object has no attribute 'get'
2026-01-20 13:59:24,794 - __main__ - ERROR - Error fetching for BIOCOR VALVE AND BIOCOR SUPRA VALVE\: 500 Server Error: Internal Server Error for url: https://api.openalex.org/works?filter=default.search%3A%22BIOCOR+VALVE+AND+BIOCOR+SUPRA+VALVE%5C%22%2Cfrom_publication_date%3A2000-01-01%2Cto_publication_date%3A2020-12-31&per_page=50&cursor=%2A
2026-01-20 14:31:35,783 - __main__ - ERROR - Error fetching for SOLO SMART HEART VALVE: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-01-20 14:31:36,025 - __main__ - ERROR - Error fetching for FREESTYLE BIOPROSTHESIS: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?filter=default.search%3A%22FREESTYLE+BIOPROSTHESIS%22%2Cfrom_publication_date%3A2000-01-01%2Cto_publication_date%3A2020-12-31&per_page=50&cursor=%2A (Caused by NameResolutionError("HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno 11001] getaddrinfo failed)"))
2026-01-20 14:31:36,031 - __main__ - ERROR - Error fetching for CARPENTIER-EDWARDS PERIMOUNT MAGNA EASE PERICARDIAL AORTIC BIOPROSTHESIS WITH THERMAFIX TISSUE PROCESS: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?filter=default.search%3A%22CARPENTIER-EDWARDS+PERIMOUNT+MAGNA+EASE+PERICARDIAL+AORTIC+BIOPROSTHESIS+WITH+THERMAFIX+TISSUE+PROCESS%22%2Cfrom_publication_date%3A2000-01-01%2Cto_publication_date%3A2020-12-31&per_page=50&cursor=%2A (Caused by NameResolutionError("HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno 11001] getaddrinfo failed)"))
2026-01-20 14:31:36,034 - __main__ - ERROR - Error fetching for GORE VIATORR TIPS ENDOPROSTHESIS WITH CONTROLLED EXPANSION: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?filter=default.search%3A%22GORE+VIATORR+TIPS+ENDOPROSTHESIS+WITH+CONTROLLED+EXPANSION%22%2Cfrom_publication_date%3A2000-01-01%2Cto_publication_date%3A2020-12-31&per_page=50&cursor=%2A (Caused by NameResolutionError("HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno 11001] getaddrinfo failed)"))
2026-01-20 14:31:36,038 - __main__ - ERROR - Error fetching for EDWARDS PERICARDIAL AORTIC BIOPROSTHESIS EDWARDS INSPIRIS RESILIA AORTIC VALVE: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?filter=default.search%3A%22EDWARDS+PERICARDIAL+AORTIC+BIOPROSTHESIS+EDWARDS+INSPIRIS+RESILIA+AORTIC+VALVE%22%2Cfrom_publication_date%3A2000-01-01%2Cto_publication_date%3A2020-12-31&per_page=50&cursor=%2A (Caused by NameResolutionError("HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno 11001] getaddrinfo failed)"))
2026-01-20 14:31:36,039 - __main__ - ERROR - Error fetching for EDWARDS COMMANDER DELIVERY SYSTEM: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?filter=default.search%3A%22EDWARDS+COMMANDER+DELIVERY+SYSTEM%22+AND+%22EDWARDS%22%2Cfrom_publication_date%3A2000-01-01%2Cto_publication_date%3A2020-12-31&per_page=50&cursor=%2A (Caused by NameResolutionError("HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno 11001] getaddrinfo failed)"))
2026-01-20 14:31:36,041 - __main__ - ERROR - Error fetching for ASCENDRA+ DELIVERY SYSTEM NOVAFLEX+ DELIVERY SYSTEM: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?filter=default.search%3A%22ASCENDRA%2B+DELIVERY+SYSTEM+NOVAFLEX%2B+DELIVERY+SYSTEM%22+AND+%22EDWARDS%22%2Cfrom_publication_date%3A2000-01-01%2Cto_publication_date%3A2020-12-31&per_page=50&cursor=%2A (Caused by NameResolutionError("HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno 11001] getaddrinfo failed)"))
