device_id,device_name,total_publications,burst_number,burst_start_date,burst_end_date,burst_duration_days,publications_in_burst,burst_intensity,years_covered
N12159,SURGICEL/SURGICEL NU-KNIT/SURGICEL FIBRILLAR ABSORBABLE HEMOSTAT,100,1,2003-08-20,2003-09-01,12,9,2,2003
N12159,SURGICEL/SURGICEL NU-KNIT/SURGICEL FIBRILLAR ABSORBABLE HEMOSTAT,100,2,2009-01-01,2009-12-01,334,10,1,2009
N12159,SURGICEL/SURGICEL NU-KNIT/SURGICEL FIBRILLAR ABSORBABLE HEMOSTAT,100,3,2009-12-01,2010-01-05,35,6,2,"2009, 2010"
N12159,SURGICEL/SURGICEL NU-KNIT/SURGICEL FIBRILLAR ABSORBABLE HEMOSTAT,100,4,2010-01-05,2011-01-01,361,9,1,"2010, 2011"
N12159,SURGICEL/SURGICEL NU-KNIT/SURGICEL FIBRILLAR ABSORBABLE HEMOSTAT,100,5,2011-01-01,2011-04-01,90,9,2,2011
N12159,SURGICEL/SURGICEL NU-KNIT/SURGICEL FIBRILLAR ABSORBABLE HEMOSTAT,100,6,2011-04-01,2013-12-01,975,30,1,"2011, 2012, 2013"
N12159,SURGICEL/SURGICEL NU-KNIT/SURGICEL FIBRILLAR ABSORBABLE HEMOSTAT,100,7,2013-12-01,2013-12-11,10,3,2,2013
N17004,SURGICAL SIMPLEX P RADIOPAQUE BONE CEMENT,7,1,1997-01-01,1997-03-01,59,4,2,1997
N17004,SURGICAL SIMPLEX P RADIOPAQUE BONE CEMENT,7,2,1997-03-01,1998-01-01,306,2,1,"1997, 1998"
N970012,AMS 700 INFLATABLE PENILE PROSTHESIS,7,0,,,,,,
P000006,TITAN INFLATABLE PENILE PROSTHESIS,6,0,,,,,,
P000007,CARPENTIER-EDWARDS PERIMOUNT PERICARDIAL BIOPROSTHESIS,100,1,2008-07-15,2008-09-07,54,6,1,2008
P000007,CARPENTIER-EDWARDS PERIMOUNT PERICARDIAL BIOPROSTHESIS,100,2,2010-03-17,2011-07-13,483,17,1,"2010, 2011"
P000007,CARPENTIER-EDWARDS PERIMOUNT PERICARDIAL BIOPROSTHESIS,100,3,2014-09-23,2015-02-10,140,9,1,"2014, 2015"
P000007,CARPENTIER-EDWARDS PERIMOUNT PERICARDIAL BIOPROSTHESIS,100,4,2019-11-27,2020-01-01,35,5,1,"2019, 2020"
P000008,LAP-BAND ADJUSTABLE GASTRIC BANDING SYSTEM,20,1,2010-01-01,2011-10-01,638,9,2,"2010, 2011"
P000013,TRIDENT SYSTEM,75,1,2004-01-01,2004-01-01,0,4,2,2004
P000013,TRIDENT SYSTEM,75,2,2006-01-01,2006-05-01,120,7,1,2006
P000013,TRIDENT SYSTEM,75,3,2007-01-01,2007-01-01,0,11,2,2007
P000013,TRIDENT SYSTEM,75,4,2008-12-01,2009-01-01,31,6,2,"2008, 2009"
P000013,TRIDENT SYSTEM,75,5,2011-12-16,2012-01-01,16,5,2,"2011, 2012"
P000013,TRIDENT SYSTEM,75,6,2012-01-01,2013-11-01,670,14,1,"2012, 2013"
P000025,COMBI 40+ COCHLEAR IMPLANT SYSTEM,10,1,2002-01-01,2002-05-01,120,4,1,2002
P000025,COMBI 40+ COCHLEAR IMPLANT SYSTEM,10,2,2005-12-23,2006-05-03,131,4,1,"2005, 2006"
P000036,DERMAGRAFT,100,1,1997-01-01,1997-01-01,0,5,2,1997
P000036,DERMAGRAFT,100,2,1997-01-01,1997-02-01,31,2,1,1997
P000036,DERMAGRAFT,100,3,2006-08-29,2007-07-01,306,13,1,"2006, 2007"
P000036,DERMAGRAFT,100,4,2011-07-26,2011-08-29,34,2,1,2011
P000036,DERMAGRAFT,100,5,2011-08-29,2011-12-14,107,9,2,2011
P000037,"ON-X (R) PROSTHETIC HEART VALVE, MODEL ONXA",4,0,,,,,,
P000048,DORNIER EPOS ULTRA,18,0,,,,,,
P000054,INFUSE BONE GRAFT,100,1,2008-01-01,2008-01-01,0,4,2,2008
P000054,INFUSE BONE GRAFT,100,2,2009-04-10,2009-09-01,144,10,1,2009
P000054,INFUSE BONE GRAFT,100,3,2010-11-03,2011-12-19,411,17,1,"2010, 2011"
P000054,INFUSE BONE GRAFT,100,4,2011-12-19,2012-01-01,13,6,2,"2011, 2012"
P000054,INFUSE BONE GRAFT,100,5,2012-01-01,2012-01-27,26,2,1,2012
P000054,INFUSE BONE GRAFT,100,6,2013-05-01,2014-10-06,523,21,1,"2013, 2014"
P000058,INFUSE BONE GRAFT/LT-CAGE LUMBAR TAPERED FUSION DEVICE,100,1,2004-03-01,2004-03-01,0,4,2,2004
P000058,INFUSE BONE GRAFT/LT-CAGE LUMBAR TAPERED FUSION DEVICE,100,2,2008-01-01,2008-01-01,0,4,2,2008
P000058,INFUSE BONE GRAFT/LT-CAGE LUMBAR TAPERED FUSION DEVICE,100,3,2009-04-10,2009-09-01,144,11,1,2009
P000058,INFUSE BONE GRAFT/LT-CAGE LUMBAR TAPERED FUSION DEVICE,100,4,2010-12-01,2011-04-04,124,8,1,"2010, 2011"
P000058,INFUSE BONE GRAFT/LT-CAGE LUMBAR TAPERED FUSION DEVICE,100,5,2011-04-04,2011-05-28,54,8,2,2011
P000058,INFUSE BONE GRAFT/LT-CAGE LUMBAR TAPERED FUSION DEVICE,100,6,2011-12-01,2011-12-19,18,2,1,2011
P000058,INFUSE BONE GRAFT/LT-CAGE LUMBAR TAPERED FUSION DEVICE,100,7,2011-12-19,2012-01-01,13,8,2,"2011, 2012"
P000058,INFUSE BONE GRAFT/LT-CAGE LUMBAR TAPERED FUSION DEVICE,100,8,2012-01-01,2012-12-01,335,14,1,2012
P010023,SOUNDTEC DIRECT SYSTEM,8,0,,,,,,
P010029,EUFLEXXA (1% SODIUM HYALURONATE),8,1,2011-07-25,2011-09-01,38,4,2,2011
P020004,EXCLUDER BIFURCATED ENDOPROSTHESIS,20,1,2006-01-01,2007-05-01,485,8,1,"2006, 2007"
P020018,ZENITH AAA ENDOVASCULAR GRAFT AND H&L-B ONE-SHOT INTRODUCTINO SYSTEM,100,1,2005-12-01,2006-01-01,31,6,1,"2005, 2006"
P020018,ZENITH AAA ENDOVASCULAR GRAFT AND H&L-B ONE-SHOT INTRODUCTINO SYSTEM,100,2,2007-01-01,2007-01-26,25,6,2,2007
P020018,ZENITH AAA ENDOVASCULAR GRAFT AND H&L-B ONE-SHOT INTRODUCTINO SYSTEM,100,3,2007-01-26,2007-06-01,126,6,1,2007
