device_name,device_type,approval_year,hype_score,total_publications,total_citations,avg_citations,num_bursts,sustained_interest,peak_year
NAVISTAR RMT DS,Other,2009,0.3598121212121212,11,392,35.63636363636363,1,True,2013.0
TELIGEN FAMILY,Other,2008,0.18396666666666667,5,93,18.6,1,True,2010.0
PROLIEVE THERMODILATATION SYSTEM,Other,2007,0.028900000000000002,4,13,3.25,0,True,2006.0
Avery Diaphragm Pacing System (alson known as Breathing Pacemaker System),Other,2019,0.0,0,0,0.0,0,False,
SNS URINARY INS INTERSTIM FAMILY,Other,2013,0.0,0,0,0.0,0,False,
CUTTING BALLOON MONORAIL(MR)/OVER THE WIRE(OTW),Other,2005,0.0,0,0,0.0,0,False,
"ASTRON PULSAR STENT SYSTEM, PULSAR-18 STENT SYSTEM",Cardiovascular,2017,0.0,0,0,0.0,0,False,
"CapSure Sense Lead, CapSure SP Novus Lead",Other,2020,0.0,0,0,0.0,0,False,
ARCHITECT AUSAB / Alinity i Anti-HBs,Imaging,2023,0.0,0,0,0.0,0,False,
"LUMAX FAMILIES OF ICD'S & CRT-D'S, ILESTO & IFORNIA FAMILIES OF ICD'S & CRT-D'S",Other,2014,0.0,0,0,0.0,0,False,
"CURRENT,FORTIFY,FORTIFY ASSURA FAMILIES OF ICD DEVICES",Other,2014,0.0,0,0,0.0,0,False,
CapSureFix MRI SureScan Lead Model 5086MRI,Imaging,2022,0.0,0,0,0.0,0,False,
"THORATEC HEARTMATE II VENTRICULAR ASSIST SYSTEM (LVAS), THORATEC VENTRICULAR ASSIST DEVICE SYSTEM",Cardiovascular,2016,0.0,0,0,0.0,0,False,
Merlin.net MN5000,Other,2024,0.0,0,0,0.0,0,False,
Diamondback 360 Coronary Orbital Atherectomy System (OAS) Micro Crown Orbital Atherectomy Device (OAD),Cardiovascular,2017,0.0,0,0,0.0,0,False,
